B01001_001E,B01001B_001E,B01001_003E,B01001_004E,B01001_027E,B01001_028E,B01001B_003E,B01001B_004E,B01001B_018E,B01001B_019E,B01001_001M,B01001B_001M,B01001_003M,B01001_004M,B01001_027M,B01001_028M,B01001B_003M,B01001B_004M,B01001B_018M,B01001B_019M,state,zip code tabulation area
8589.0,3562.0,330.0,340.0,314.0,318.0,220.0,238.0,123.0,128.0,634.0,611.0,185.0,201.0,109.0,135.0,175.0,198.0,86.0,93.0,42,15204
30014.0,10258.0,935.0,684.0,755.0,516.0,259.0,269.0,275.0,246.0,958.0,685.0,198.0,161.0,181.0,119.0,112.0,126.0,133.0,106.0,42,15206
10574.0,867.0,237.0,218.0,281.0,127.0,84.0,55.0,0.0,25.0,527.0,284.0,106.0,81.0,96.0,60.0,97.0,62.0,16.0,27.0,42,15211
109.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,53.0,10.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,10.0,42,15316
38561.0,1376.0,956.0,1223.0,1179.0,993.0,61.0,12.0,0.0,76.0,582.0,299.0,167.0,191.0,189.0,186.0,62.0,18.0,22.0,57.0,42,15317
11324.0,2346.0,329.0,347.0,365.0,207.0,77.0,113.0,111.0,31.0,628.0,370.0,109.0,137.0,127.0,91.0,83.0,72.0,86.0,48.0,42,15207
12158.0,359.0,356.0,479.0,174.0,178.0,0.0,53.0,0.0,0.0,440.0,249.0,111.0,156.0,91.0,88.0,16.0,78.0,16.0,16.0,42,15209
28047.0,3324.0,132.0,85.0,124.0,100.0,41.0,28.0,0.0,37.0,894.0,453.0,88.0,49.0,65.0,67.0,43.0,37.0,19.0,43.0,42,15213
6521.0,140.0,125.0,204.0,126.0,142.0,0.0,20.0,0.0,0.0,339.0,132.0,70.0,85.0,77.0,90.0,15.0,30.0,15.0,15.0,42,15223
1035.0,55.0,17.0,16.0,4.0,19.0,0.0,0.0,0.0,0.0,72.0,42.0,15.0,11.0,5.0,14.0,10.0,10.0,10.0,10.0,42,15225
